Last Name,First Name,Username,Student ID,Last Access,Availability,Assignment: Cardiology Fundamentals Week 2 [Total Pts: 100 Score] |2659511
Taylor,Riley,rtaylor,U64083075,,,
Morgan,Riley,rmorgan,U23215812,,Yes,0
Brooks,Richard,rbrooks2,U80981464,,Yes,0
Sanders,Grace,gsanders,U35347423,,,
Lopez,Elizabeth,elopez2,U11696575,,,
Torres,Michael,mtorres,U09336302,,,
Johnson,Cameron,cjohnson,U56497794,,,
Costa,Steven,scosta,U86703840,,Yes,0
Sanders,Nathan,nsanders,U09654927,,,
Davis,Ella,edavis,U07764632,,,
Haddad,Hannah,hhaddad,U59809745,,,
Hughes,Nadia,nhughes,U04906962,,,
Reyes,Kenji,kreyes,U08696156,,,
Evans,Zara,zevans,U01851984,,,
Williams,Edward,ewilliams,U63637278,,,
Hernandez,Kenji,khernandez,U15900233,,,
Gomez,James,jgomez,U10138461,,,
Robinson,Oliver,orobinson,U52829146,,,
Peterson,Zoe,zpeterson,U98456351,,Yes,0
Ward,Charlotte,cward,U13056885,,,
Chavez,Natalie,nchavez,U40330324,,,
Johnson,Benjamin,bjohnson,U91480194,2/5/2026 14:05,,
Green,John,jgreen,U89333715,,,
Brown,Sarah,sbrown,U98160955,,,
Anderson,Tyler,tanderson2,U70729720,,,
Kim,Jason,jkim,U09629987,,,
White,Aaron,awhite,U04504498,,,
King,Peter,pking,U09520070,,,
Miller,Jason,jmiller,U32641718,,,
Gomez,Isabella,igomez,U21688738,,,
Jones,Liam,ljones,U36781496,,,
Anderson,Riley,randerson,U85750775,,Yes,0
Ross,David,dross,U48140769,7/1/2026 11:02,,
Williams,Diane,dwilliams,U55573503,9/20/2026 14:34,,
Walker,Alexander,awalker,U58433451,,,
Lewis,Elizabeth,elewis,U52580791,,,
Kumar,Caleb,ckumar,U88430042,,,
Martin,Diego,dmartin,U83600395,,,
James,Riley,rjames,U19587272,,,
Edwards,Scarlett,sedwards,U02073807,,,
Cox,Anika,acox,U09113950,9/4/2026 4:30,,
Williams,Hannah,hwilliams,U05838107,,Yes,0
Reyes,Charlotte,creyes,U79389878,7/26/2026 10:59,,
Scott,Ella,escott,U09273978,,,
Khan,Priya,pkhan,U93826921,,,
Bailey,Isabella,ibailey,U86956334,,,
Baker,Margaret,mbaker,U94172523,10/27/2026 17:37,,
Smith,Kathryn,ksmith,U13977597,3/4/2026 3:13,,
Perez,Amelia,aperez,U64228587,10/18/2026 1:40,,
Costa,Omar,ocosta,U63237863,,,
Brown,Rebecca,rbrown,U40165701,,,
Kelly,Emma,ekelly,U42789808,,Yes,0
Sanders,Caleb,csanders,U28477974,,,
Suzuki,Henry,hsuzuki,U60491751,7/26/2026 11:09,,
Reed,Samuel,sreed,U38735347,,,
Diaz,Benjamin,bdiaz,U77868729,,Yes,0
Cruz,Rebecca,rcruz,U53669969,,Yes,0
Kowalski,Susan,skowalski,U00336768,,Yes,0
Phillips,Ella,ephillips,U62636421,3/21/2026 6:38,,
Walker,Riley,rwalker,U63965858,,,
Murphy,Ethan,emurphy,U58048196,,,
Anderson,Andrew,aanderson2,U70882178,5/5/2026 1:08,,
Mendoza,Diego,dmendoza,U77971762,4/11/2026 10:47,Yes,0
Rivera,Sofia,srivera,U98850653,6/16/2026 3:41,Yes,0
Martinez,Matthew,mmartinez,U31863600,,,
Williams,Angela,awilliams,U72094703,,,
Anderson,Christine,canderson,U16661451,,,
Morgan,Barbara,bmorgan,U22038715,,,
Patel,Paul,ppatel,U36699010,,,
Richardson,Isaac,irichardson,U93999614,6/19/2026 6:40,,
Taylor,Ryan,rtaylor2,U11259735,,,
Myers,Jessica,jmyers,U10157334,,,
Allen,Donald,dallen2,U41789322,,,
Nguyen,Nadia,nnguyen,U59719412,,,
Brown,Oliver,obrown,U31533028,,,
Hughes,Elizabeth,ehughes2,U04543931,10/28/2026 19:38,,
Carter,Ryan,rcarter,U03819758,,,
Gomez,Nadia,ngomez,U60868914,,,
Morales,Ines,imorales,U81841760,,,
Wilson,Casey,cwilson,U09939754,,,
Anderson,Victoria,vanderson2,U93970053,,,
Gray,Logan,lgray,U80602898,,,
Long,Aaron,along,U07511459,,,
Price,Ryan,rprice,U79042468,,Yes,0
Alvarez,Isaac,ialvarez,U04119682,,Yes,0
Wright,Teresa,twright,U43296311,,,
Nguyen,Alexander,anguyen,U84580628,,,
Reed,Patricia,preed2,U33008396,,,
Kumar,John,jkumar,U16129322,10/11/2026 11:03,Yes,0
Moore,Emma,emoore,U88072562,,Yes,0
Clark,Logan,lclark,U86114663,,,
Chen,Ines,ichen,U48550598,10/23/2026 9:39,,
Morales,Donald,dmorales,U08080044,,,
Carter,Robert,rcarter2,U38689124,1/7/2026 18:06,,
Silva,Jennifer,jsilva,U87419126,,Yes,0
Baker,Fatima,fbaker,U30875543,12/14/2026 12:02,Yes,0
Smith,Scarlett,ssmith2,U62759459,,,
White,Zoe,zwhite,U59992810,,,
Murphy,Harper,hmurphy,U07792918,,,
Ward,James,jward,U22484896,3/23/2026 4:00,,
Jackson,Noah,njackson,U04710251,,,
Long,Megan,mlong,U76529260,,,
Nguyen,Brian,bnguyen,U45479596,,,
Moore,Angela,amoore2,U48707227,2/27/2026 10:39,,
Mendoza,Isabella,imendoza,U82789474,,,
Martinez,Olivia,omartinez,U70279471,,,
Thomas,Noah,nthomas,U07236014,,Yes,0
Campbell,Dave,dcampbell,U18201239,2/2/2026 1:54,Yes,0
Clark,Caleb,cclark,U70229681,,,
Bailey,Avery,abailey,U67652750,9/2/2026 5:20,,
Myers,William,wmyers,U71445863,,,
Cook,Chloe,ccook,U01774633,,,
Anderson,Wei,wanderson,U54009087,,,
Wilson,Anthony,awilson,U83070376,,,
Brown,Michael,mbrown,U92769642,,,
Martinez,Nadia,nmartinez,U86387700,,,
Moore,Mohammed,mmoore,U56317275,,Yes,0
Cox,Mary,mcox,U21895185,,Yes,0
Carter,Anika,acarter2,U99869922,,,
Young,Barbara,byoung,U33505367,,,
Gutierrez,Brandon,bgutierrez,U81468375,,,
Bennett,Emma,ebennett,U31547736,7/15/2026 5:33,,
Garcia,Joseph,jgarcia,U31823278,,,
Rodriguez,Victoria,vrodriguez,U85651763,,,
Chavez,John,jchavez,U38535200,,,
Cruz,Sophia,scruz,U99313790,,,
Gomez,Dave,dgomez,U90170631,2/26/2026 11:40,,
Allen,Lucas,lallen,U63813052,,,
Johnson,Elena,ejohnson,U29410135,4/28/2026 13:25,Yes,0
Price,Matthew,mprice,U98494649,,,
Sanders,Charles,csanders2,U48357282,,,
Morales,Grace,gmorales,U07133263,,,
Diaz,Noah,ndiaz,U10564463,7/2/2026 6:55,,
Thomas,Wei,wthomas,U21014897,,Yes,0
Wilson,Brandon,bwilson,U07176847,,Yes,0
Ramirez,Megan,mramirez2,U10546949,,,
Murphy,Linda,lmurphy,U60020823,,,
Walker,Henry,hwalker,U42600140,,,
Rivera,Joseph,jrivera,U34057664,,,
Edwards,Olivia,oedwards,U81689435,,,
Rivera,Joseph,jrivera2,U23831017,8/25/2026 13:51,,
Scott,Mark,mscott,U88680118,,,
Silva,Joseph,jsilva2,U55604633,,,
Morris,Andrew,amorris,U34423093,,,
Ross,Frank,fross,U61311085,3/7/2026 12:55,,
Ramirez,Sarah,sramirez,U32554046,,,
Baker,Tyler,tbaker,U67158742,,,
Cox,Mia,mcox2,U58511935,,,
Gutierrez,Leila,lgutierrez,U31457642,,,
Lewis,Mohammed,mlewis2,U06613991,11/1/2026 14:32,,
Reed,Audrey,areed,U60488517,,,
Peterson,Aaron,apeterson,U79209215,,Yes,0
Smith,Jessica,jsmith,U78651803,10/17/2026 11:58,,
Turner,Ella,eturner,U58744330,,,
Lewis,George,glewis,U19248410,,,
Stewart,Margaret,mstewart,U81493719,,,
Edwards,James,jedwards,U46544581,10/6/2026 4:29,Yes,0
Cruz,Eric,ecruz,U84581262,,,
Kumar,George,gkumar,U76459702,,,
Green,Mark,mgreen,U74319242,8/4/2026 9:06,Yes,0
Martin,Daniel,dmartin2,U03699945,,,
Richardson,Amelia,arichardson4,U03618116,,,
Collins,Jameson,jcollins,U93715048,,,
Collins,Sophia,scollins,U06480773,9/6/2026 18:57,,
Khan,Brian,bkhan,U06350006,3/1/2026 7:11,,
Perez,Logan,lperez,U11127260,,Yes,0
Sanchez,Victoria,vsanchez,U19254587,,,
Novak,Aaron,anovak,U67687416,,,
Alvarez,George,galvarez,U73170279,,,
Lee,Ella,elee,U04865564,,Yes,0
Haddad,Jason,jhaddad,U58329781,,,
Martinez,Morgan,mmartinez2,U30739538,,,
Torres,Cameron,ctorres,U54183126,,Yes,0
Sanchez,Mia,msanchez,U94089286,,,
Diaz,Jameson,jdiaz2,U82508760,12/20/2026 11:38,,
Sanchez,Cameron,csanchez,U11318444,,,
Rodriguez,Yuki,yrodriguez,U61781601,,Yes,0
Miller,Morgan,mmiller,U51297620,,,
Carter,Zoe,zcarter,U41638163,,,
Price,Andrew,aprice,U28398760,,,
Ramos,Peter,pramos,U24673860,,,
Suzuki,Henry,hsuzuki2,U97244520,,,
Myers,Nancy,nmyers,U22279402,,,
Hill,Thomas,thill,U48099300,,,
Gonzalez,James,jgonzalez,U42580698,,,
Hernandez,Tyler,thernandez,U68131140,,,
Rogers,Amir,arogers2,U42043638,,Yes,0
Kelly,Jameson,jkelly,U81290256,,,
Martinez,Alexander,amartinez2,U17849945,,,
Wood,Andrew,awood,U54514685,,,
Smith,Hannah,hsmith,U84943325,,,
Stewart,Henry,hstewart,U88826738,,,
Morgan,Andrew,amorgan,U63160756,,,
Cruz,Brian,bcruz,U90197785,12/10/2026 15:50,,
Watson,Omar,owatson,U16241370,8/16/2026 3:25,,
Williams,Evelyn,ewilliams2,U23266410,,,
Richardson,Aaron,arichardson5,U04838856,,Yes,0
Morgan,Anthony,amorgan2,U20812714,,,
Diaz,Christopher,cdiaz2,U43064183,,Yes,0
Kelly,David,dkelly,U72261541,,,
Gutierrez,Jameson,jgutierrez,U60786096,4/26/2026 13:45,,
Rivera,Olivia,orivera,U20720130,,,
Moore,Henry,hmoore,U82589404,,,
Wood,Steven,swood2,U03542682,,Yes,0
Sanders,Fatima,fsanders,U80546741,,,
Patel,Avery,apatel,U71537603,,Yes,0
Kelly,Noah,nkelly,U58776078,,,
Suzuki,Tariq,tsuzuki,U86865501,,,
Jackson,Christine,cjackson2,U15479548,,,
Mendoza,Diego,dmendoza2,U06460840,8/12/2026 3:52,,
Foster,Casey,cfoster,U00081561,,Yes,0
Ross,Yuki,yross,U21197068,5/4/2026 15:14,,
Diaz,William,wdiaz,U13867577,,,
Campbell,George,gcampbell2,U92000579,,,
Castillo,Andrew,acastillo,U68769465,,Yes,0
Wright,William,wwright,U22174417,,,
Long,Yuki,ylong,U31668006,,,
Castillo,Amir,acastillo2,U70733088,,,
Wood,Avery,awood2,U49503544,,,
Price,Christopher,cprice,U79641332,,,
Wright,Michael,mwright,U67433065,,,
Patel,Evelyn,epatel,U50335588,,,
Hill,Peter,phill,U34783541,,,
Morris,Anthony,amorris2,U10192858,,,
Gonzalez,Yuki,ygonzalez,U00674166,2/27/2026 21:19,,
Brooks,Amelia,abrooks,U41836724,,,
Jimenez,Edward,ejimenez,U47655673,,,
Ruiz,Nancy,nruiz,U67401164,,,
Gutierrez,Zoe,zgutierrez,U95528135,,,
Hall,Ava,ahall,U43370886,,Yes,0
Myers,Rebecca,rmyers2,U31323237,,Yes,0
Novak,George,gnovak,U14574129,,Yes,0
Chavez,Brandon,bchavez,U88369718,,,
Morgan,Anika,amorgan3,U81233414,,,
Murphy,George,gmurphy,U30238733,,,
Carter,Anthony,acarter3,U86758714,,,
Allen,Carlos,callen,U99508094,,,
Myers,Henry,hmyers,U58003592,,,
Watson,Ella,ewatson,U76502104,12/12/2026 21:14,,
Stewart,Zoe,zstewart,U69113800,,Yes,0
Suzuki,Susan,ssuzuki,U97514832,,,
Lopez,Barbara,blopez2,U78753180,6/17/2026 18:35,,
Price,Grace,gprice,U55220054,,,
Mitchell,Andrew,amitchell2,U91068034,6/20/2026 13:10,Yes,0
Evans,Morgan,mevans,U18513569,,,
Kelly,Patricia,pkelly2,U32117419,,,
Cruz,Nadia,ncruz,U99618709,,Yes,0
Morris,Ethan,emorris2,U72044009,,,
Ross,Charles,cross,U35779801,,Yes,0
Baker,Emma,ebaker,U85197142,,,
Morris,Christopher,cmorris,U37539952,,,
Sanchez,Morgan,msanchez2,U93049166,8/16/2026 21:54,Yes,0
Alvarez,Mia,malvarez,U27971241,,,
Novak,Oliver,onovak,U48407994,12/9/2026 20:56,,
Richardson,Caleb,crichardson,U16387701,,Yes,0
Brooks,William,wbrooks,U98118611,6/5/2026 23:07,,
Scott,Christine,cscott,U40747696,,,
Gray,Harper,hgray,U83268252,,Yes,0
Robinson,John,jrobinson,U53574479,9/18/2026 18:18,,
Harris,David,dharris,U84744327,,,
Jimenez,Thomas,tjimenez,U24430593,4/6/2026 23:43,,
Thompson,Taylor,tthompson,U74331344,,,
Gonzalez,Wei,wgonzalez,U07503875,,,
Mendoza,Kathryn,kmendoza,U56062861,,Yes,0
Brooks,Charles,cbrooks2,U17799094,,,
Adams,Lucas,ladams,U72695194,,,
Turner,Jordan,jturner,U28159649,,,
Morgan,Mohammed,mmorgan,U07613217,,,
Johnson,Mohammed,mjohnson2,U17540605,,,
Jackson,Kathryn,kjackson,U84593279,,,
Ruiz,Dave,druiz,U58044004,,Yes,0
Martin,Andrew,amartin,U00907368,6/8/2026 22:46,Yes,0
Lopez,Matthew,mlopez2,U09619782,,,
Chen,Linda,lchen,U12260382,,,
Silva,Susan,ssilva2,U39715163,,,
Kowalski,Scarlett,skowalski2,U41232642,,,
Mendoza,Diane,dmendoza3,U15842073,,,
Kowalski,Aisha,akowalski,U06649821,,,
Sanders,Sophia,ssanders,U05072975,,,
Williams,Amir,awilliams2,U22062117,,,
Reyes,Ethan,ereyes,U09245409,,Yes,0
Kelly,Matthew,mkelly,U09089260,,,
Ward,Charlotte,cward2,U76951458,,,
Torres,Steven,storres,U63079061,,,
Robinson,Paul,probinson,U12806284,,,
Jimenez,Margaret,mjimenez2,U54795544,,,
Cook,Noah,ncook,U28069083,8/12/2026 21:32,,
Kowalski,Ava,akowalski2,U62606124,,,
Young,Steven,syoung,U91949277,,,
Ramos,Audrey,aramos,U63890840,,,
Anderson,Cameron,canderson2,U11916632,,,
Chen,Benjamin,bchen,U79926474,,,
Wright,Andrew,awright,U23342595,,,
Ruiz,Alexander,aruiz,U36058231,12/5/2026 2:57,Yes,0
Kumar,Daniel,dkumar,U63418683,,,
Gray,Michael,mgray,U68696190,,Yes,0
Parker,Peter,pparker,U62321241,,,
Silva,Fatima,fsilva,U31077739,7/12/2026 4:22,,
Sanders,Ella,esanders,U23557955,,,
Kowalski,Isabella,ikowalski,U49569654,3/8/2026 15:52,,
Martinez,Jameson,jmartinez,U81998689,,,
Roberts,Oliver,oroberts2,U54425352,,,
Chavez,Evelyn,echavez,U69700960,,,
Perez,Diane,dperez,U62170626,,Yes,0
Cooper,Carlos,ccooper,U70050010,,Yes,0
Ross,Lucas,lross,U88856280,,,
Ramirez,Ryan,rramirez,U27235645,2/8/2026 0:49,Yes,0
Collins,Mei,mcollins,U35350281,,,
Wilson,Carlos,cwilson2,U28855822,,,
Sanchez,Eric,esanchez,U77876865,,,
Perez,Christine,cperez,U90209157,,,
Martin,Harper,hmartin,U27498776,,Yes,0
Harris,Riley,rharris,U31580389,8/18/2026 11:36,,
Ward,Daniel,dward,U18545658,,,
Parker,Diane,dparker,U60172068,,,
Scott,Brooke,bscott,U42061936,,Yes,0
Perez,Chloe,cperez2,U53676643,,,
Davis,Henry,hdavis,U48256514,3/2/2026 6:39,,
Rivera,Megan,mrivera,U30166929,,,
Chen,Sophia,schen,U24609913,,,
Hughes,John,jhughes,U89132407,,Yes,0
Ortiz,Mei,mortiz,U27446226,,,
Cooper,Evelyn,ecooper2,U50267465,4/21/2026 16:51,,
